"period","paid","length","subperiods","percentChangePerSecond","groupSize","assignedGroups","payoffFunction","name","Aa","Ab","Ba","Bb","min","max","counterpartPayoffFunction","name","Aa","Ab","Ba","Bb","min","max","probPayoffs","strategySelectionDisplayType","mixedStrategySelection","probPayoffs","showHeatmap"
1,"FALSE",60,10,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
2,"TRUE",60,10,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
3,"TRUE",60,10,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
4,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
5,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
6,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
7,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
8,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
9,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
10,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
11,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
12,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
13,"TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
14,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
15,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
16,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
17,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
18,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
19,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
20,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
21,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
22,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
23,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
24,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
25,"TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
