"period","paid","length","percentChangePerSecond","subperiods","payoffFunction","Rr","Rp","Rs","Pr","Pp","Ps","Sr","Sp","Ss","min","max"
1,"TRUE",120,0.1,0,"rps",36,24,96,96,36,24,24,96,36,24,96
2,"TRUE",120,0.2,0,"rps",60,0,72,72,60,36,0,72,60,0,72
3,"TRUE",120,0.3,0,"rps",36,24,96,96,36,24,24,96,36,24,96
4,"TRUE",120,0.4,0,"rps",60,0,72,72,60,36,0,72,60,0,72
5,"TRUE",120,0.5,0,"rps",60,0,72,72,60,36,0,72,60,0,72
6,"TRUE",120,1,10,"rps",36,24,96,96,36,24,24,96,36,24,96
7,"TRUE",120,1,20,"rps",60,0,72,72,60,36,0,72,60,0,72
8,"TRUE",120,1,30,"rps",36,24,96,96,36,24,24,96,36,24,96
9,"TRUE",120,1,60,"rps",60,0,72,72,60,36,0,72,60,0,72
10,"TRUE",120,1,0,"rps",60,0,72,72,60,36,0,72,60,0,72
