period,subperiod,secondsLeft,subject,population,match,matchID,strategy0,target0,payoff,percentChangePerSecond,name,min,max,subperiods,playersInGroup,length
1,0,29,1,1,1,0,0.037193835,0.037193835,58.828472,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,60.40101,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.634508,0.634508,205.2586,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.3391989,0.3391989,75.511894,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.037193835,0.037193835,58.828472,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,60.40101,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.634508,0.634508,205.2586,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.3391989,0.3391989,75.511894,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,29,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,2,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,1,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,4,1,1,0,0.25694853,0.25694853,328.6103,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,28,3,1,1,0,0.1,0.1,23.79657,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
